FName,MName,LName,Branch,Designation,StartDate,EndDate
Perla,Abby,Roberts,HeadQuarters,Driver,2022-07-03,2022-08-31
Simone,Marina,Peake,HeadQuarters,Driver,2022-08-31,2023-07-21
Danica,Larissa,Scott,HeadQuarters,Cheif Operations Officer,2021-09-22,
Izabelle,Emery,Ferguson,HeadQuarters,Junior Administration Officer,2023-07-21,
Cierra,Izabelle,Gill,HeadQuarters,CAD-CAM Specialist,2022-04-22,
Lana,Larissa,Mackenzie,HeadQuarters,CAD-CAM Specialist,2021-11-09,
Danica,Joslyn,Lee,Lilongwe Office,Administration Officer,2022-01-27,2023-05-11
Shyla,Elsie,Alsop,HeadQuarters,CAD-CAM Specialist,2021-08-26,
Karen,Simone,Buckland,Mzuzu Office,Sales Support,2024-01-13,
Paula,Elsie,Arnold,HeadQuarters,Executive Director,2021-12-19,
Marina,Emery,Cameron,Mzuzu Office,Administration Officer,2023-08-29,
Shyla,Asia,Russell,Lilongwe Office,Administration Officer,2023-05-11,2024-01-08
Joslyn,Cassidy,Mackenzie,HeadQuarters,Administration Manager,2021-11-01,
Paula,Amy,Black,HeadQuarters,Executive Director,2021-06-30,2021-12-19
Emery,Marina,Peake,Mzuzu Office,Support Officer,2024-01-08,2024-01-13
Shirley,Emma,Henderson,Lilongwe Office,Administration Officer,2024-01-08,
Valeria,Veronica,Mills,Mzuzu Office,Support Officer,2024-01-08,
Kendra,Veronica,Vance,Mzuzu Office,Procurement & Logistics Officer,2023-09-13,2024-01-08
Madelynn,Justice,Turner,Lilongwe Office,Procurement & Logistics Officer,2022-04-01,2023-09-13
Marisol,Kendra,Clarkson,Lilongwe Office,Administration Officer,2022-01-13,
Taliyah,Rayna,Allan,Lilongwe Office,Implementation Officer,2022-05-12,
Kendra,Rayna,Mitchell,HeadQuarters,Product Development Manager,2021-08-26,
Valeria,Alannah,Fraser,HeadQuarters,Product Developer,2021-06-25,
Arielle,Kendra,Hart,HeadQuarters,Software Developer,2021-12-11,
Valeria,Joslyn,Simpson,HeadQuarters,Quality Assurance Specialist,2023-11-18,
Shyla,Myah,Manning,HeadQuarters,Software Developer,2021-10-24,
Arielle,Mira,Rutherford,HeadQuarters,Training Manager,2023-01-22,
Cierra,Mira,Pullman,HeadQuarters,Cheif Operations Officer,2021-07-10,
Elsie,Valeria,Lawrence,HeadQuarters,Implementation Manager,2021-11-14,2022-02-08
Perla,Ana,Young,HeadQuarters,Implementation Manager,2022-02-08,
Alannah,Sydney,Greene,HeadQuarters,Business Development Manager,2022-04-04,
Piper,Mira,Turner,HeadQuarters,Training Officer,2023-06-14,2024-01-08
Shirley,Jayla,Peters,HeadQuarters,Power Engineer,2023-03-28,
Rachael,Monica,Skinner,HeadQuarters,Power Engineer,2021-08-20,2023-03-28
Cassidy,Alannah,Bower,HeadQuarters,Network Engineer,2022-12-27,
Emery,Jayla,Hemmings,HeadQuarters,Network Engineer,2021-08-20,2022-12-27
Giana,Elianna,Coleman,Lilongwe Office,Sales Representative,2024-02-04,
Shyla,Marina,Gill,Lilongwe Office,Marketing Executive,2023-08-08,
Perla,Sydney,Ellison,Lilongwe Office,Marketing Assistant,2023-11-12,
Kyra,Rayna,Black,Lilongwe Office,Implementation Officer,2022-12-06,
Perla,Izabelle,Poole,HeadQuarters,Implementation Officer,2021-09-09,
Yesenia,Elsie,Ogden,HeadQuarters,Business Development Manager,2021-08-08,2022-04-04
Tiara,Tiara,Kerr,HeadQuarters,Software Developer,2021-11-11,2024-02-04
