FName,MName,LName,BirthDate,Gender,MaritalStatus,PrimaryPhone,SecPhone,PersonEmail,OfficialEmail,PostAddress,ResAddress,Landmark,DateEmployed,DepartureDate
Perla,Abby,Roberts,1985-02-15,Female,Single,265 88 5103165,265 88 4591706,self@emila.com,me@email.com,,,,2022-07-03,2022-08-31
Simone,Marina,Peake,1997-02-15,Female,Divorced,265 88 1273921,265 99 4253069,self@emila.com,me@email.com,,,,2022-08-31,2023-07-21
Danica,Larissa,Scott,1980-02-15,Female,Other,265 99 1706657,265 88 9224798,self@emila.com,me@email.com,,,,2021-09-22,
Izabelle,Emery,Ferguson,1991-02-15,Female,Married,265 99 1089173,265 88 4754644,self@emila.com,me@email.com,,,,2023-07-21,
Cierra,Izabelle,Gill,1979-02-15,Female,Divorced,265 88 6240917,265 99 7554928,self@emila.com,me@email.com,,,,2022-04-22,
Lana,Larissa,Mackenzie,2002-02-15,Female,Other,265 99 505296,265 88 3776140,self@emila.com,me@email.com,,,,2021-11-09,
Danica,Joslyn,Lee,1992-02-15,Female,Single,265 88 7082973,265 99 2176181,self@emila.com,me@email.com,,,,2022-01-27,2023-05-11
Shyla,Elsie,Alsop,1989-02-15,Female,Divorced,265 88 9454367,265 88 6654524,self@emila.com,me@email.com,,,,2021-08-26,
Karen,Simone,Buckland,1985-02-15,Female,Single,265 88 666011,265 99 4530796,self@emila.com,me@email.com,,,,2024-01-13,
Paula,Elsie,Arnold,1978-02-15,Female,Divorced,265 99 2118214,265 99 9151900,self@emila.com,me@email.com,,,,2021-12-19,
Marina,Emery,Cameron,2005-02-15,Female,Single,265 88 4597606,265 88 778120,self@emila.com,me@email.com,,,,2023-08-29,
Shyla,Asia,Russell,2004-02-15,Female,Divorced,265 88 7764630,265 88 8754828,self@emila.com,me@email.com,,,,2023-05-11,2024-01-08
Joslyn,Cassidy,Mackenzie,1997-02-15,Female,Divorced,265 99 7590747,265 99 4488289,self@emila.com,me@email.com,,,,2021-11-01,
Paula,Amy,Black,1984-02-15,Female,Other,265 99 4308393,265 88 1115878,self@emila.com,me@email.com,,,,2021-06-30,2021-12-19
Emery,Marina,Peake,2001-02-15,Female,Married,265 99 7391152,265 99 4797883,self@emila.com,me@email.com,,,,2024-01-08,2024-01-13
Shirley,Emma,Henderson,1987-02-15,Female,Married,265 99 9904793,265 99 9482748,self@emila.com,me@email.com,,,,2022-10-20,
